# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 49, 0
2, 81, 0
3, 104, 0
4, 109, 0
5, 119, 0
6, 142, 0
7, 159, 0
8, 168, 0
9, 169, 0
10, 168, 0
11, 172, 0
12, 184, 0
13, 184, 0
14, 198, 0
15, 208, 0
16, 214, 0
17, 212, 0
18, 212, 0
19, 203, 0
20, 194, 0
21, 194, 0
22, 200, 0
23, 201, 0
24, 193, 0
25, 186, 0
26, 194, 0
27, 200, 0
28, 204, 0
29, 198, 0
30, 192, 0
31, 195, 0
32, 203, 0
33, 211, 0
34, 219, 0
35, 214, 0
36, 206, 0
37, 210, 0
38, 205, 0
39, 204, 0
40, 206, 0
41, 195, 0
42, 197, 0
43, 195, 0
44, 197, 0
45, 193, 0
46, 195, 0
47, 209, 0
48, 214, 0
49, 209, 0
50, 213, 20
51, 151, 32
52, 126, 45
53, 108, 50
54, 87, 56
55, 79, 57
56, 61, 68
57, 48, 66
58, 41, 65
59, 44, 66
60, 45, 65
61, 40, 67
62, 33, 60
63, 36, 63
64, 31, 63
65, 26, 63
66, 23, 60
67, 19, 55
68, 16, 56
69, 17, 48
70, 19, 38
71, 23, 34
72, 26, 29
73, 21, 30
74, 24, 27
75, 26, 29
76, 28, 28
77, 31, 30
78, 42, 25
79, 48, 17
80, 55, 18
81, 65, 17
82, 61, 13
83, 75, 14
84, 78, 12
85, 82, 12
86, 97, 11
87, 100, 10
88, 112, 11
89, 120, 11
90, 126, 14
91, 127, 12
92, 128, 12
93, 120, 14
94, 116, 18
95, 114, 21
96, 112, 24
97, 116, 23
98, 107, 27
99, 111, 33
100, 104, 33
101, 100, 37
102, 78, 35
103, 78, 38
104, 88, 47
105, 77, 55
106, 85, 52
107, 73, 52
108, 68, 48
109, 68, 57
110, 81, 58
111, 75, 52
112, 64, 51
113, 58, 55
114, 57, 55
115, 51, 58
116, 52, 51
117, 50, 50
118, 53, 47
119, 62, 55
120, 58, 48
121, 62, 40
122, 61, 42
123, 61, 43
124, 61, 40
125, 55, 39
126, 59, 38
127, 63, 36
128, 68, 34
129, 72, 30
130, 84, 31
131, 82, 30
132, 98, 28
133, 107, 27
134, 100, 22
135, 99, 28
136, 109, 28
137, 124, 26
138, 112, 25
139, 116, 21
140, 113, 23
141, 113, 21
142, 112, 24
143, 113, 26
144, 109, 25
145, 101, 33
146, 94, 33
147, 100, 35
148, 91, 36
149, 98, 39
150, 90, 40
151, 87, 40
152, 86, 42
153, 87, 47
154, 77, 48
155, 85, 50
156, 80, 47
157, 86, 41
158, 79, 46
159, 82, 53
160, 82, 53
161, 69, 55
162, 64, 59
163, 69, 54
164, 68, 56
165, 66, 58
166, 67, 51
167, 63, 57
168, 56, 57
169, 60, 51
170, 59, 51
171, 64, 47
172, 69, 44
173, 70, 39
174, 76, 41
175, 85, 37
176, 85, 39
177, 86, 35
178, 93, 35
179, 98, 38
180, 92, 41
181, 99, 38
182, 92, 44
183, 91, 41
184, 96, 40
185, 97, 44
186, 88, 43
187, 89, 44
188, 88, 41
189, 85, 42
190, 78, 44
191, 75, 47
192, 66, 48
193, 61, 57
194, 70, 56
195, 68, 53
196, 64, 49
197, 57, 48
198, 62, 49
199, 64, 49
200, 57, 44
201, 60, 46
202, 60, 52
203, 60, 55
204, 75, 51
205, 76, 49
206, 74, 45
207, 67, 43
208, 76, 47
209, 70, 48
210, 66, 46
211, 74, 47
212, 68, 41
213, 59, 49
214, 62, 56
215, 71, 49
216, 73, 49
217, 81, 42
218, 83, 41
219, 90, 40
220, 97, 38
221, 97, 30
222, 99, 29
223, 97, 31
224, 88, 35
225, 95, 41
226, 104, 42
227, 80, 40
228, 85, 41
229, 79, 43
230, 81, 41
231, 80, 41
232, 82, 41
233, 87, 47
234, 83, 47
235, 81, 45
236, 79, 50
237, 80, 47
238, 76, 44
239, 81, 44
240, 79, 50
241, 83, 50
242, 92, 46
243, 93, 46
244, 80, 49
245, 77, 52
246, 80, 55
247, 74, 57
248, 78, 52
249, 76, 49
250, 80, 43
251, 80, 42
252, 77, 44
253, 78, 42
254, 86, 35
255, 83, 36
256, 85, 41
257, 88, 48
258, 81, 50
259, 83, 45
260, 82, 47
261, 91, 43
262, 90, 46
263, 87, 44
264, 79, 43
265, 75, 41
266, 70, 40
267, 71, 42
268, 81, 39
269, 70, 37
270, 74, 44
271, 81, 42
272, 86, 40
273, 91, 39
274, 88, 42
275, 89, 42
276, 97, 42
277, 93, 45
278, 85, 45
279, 94, 50
280, 100, 47
281, 92, 51
282, 98, 43
283, 92, 41
284, 86, 45
285, 85, 42
286, 87, 45
287, 82, 49
288, 88, 48
289, 84, 53
290, 81, 59
291, 93, 57
292, 83, 52
293, 80, 45
294, 95, 47
295, 93, 43
296, 86, 43
297, 78, 43
298, 87, 44
299, 86, 44
