# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 50, 0
2, 84, 0
3, 105, 0
4, 106, 0
5, 122, 0
6, 136, 0
7, 152, 0
8, 169, 0
9, 171, 0
10, 174, 0
11, 178, 0
12, 190, 0
13, 194, 0
14, 205, 0
15, 207, 0
16, 224, 0
17, 210, 0
18, 202, 0
19, 213, 0
20, 199, 0
21, 203, 0
22, 209, 0
23, 212, 0
24, 218, 0
25, 213, 0
26, 206, 0
27, 203, 0
28, 196, 0
29, 199, 0
30, 207, 0
31, 202, 0
32, 198, 0
33, 209, 0
34, 209, 0
35, 213, 0
36, 215, 0
37, 209, 0
38, 206, 0
39, 210, 0
40, 205, 0
41, 203, 0
42, 204, 0
43, 204, 0
44, 210, 0
45, 219, 0
46, 215, 0
47, 208, 0
48, 202, 0
49, 197, 0
50, 205, 20
51, 160, 31
52, 132, 44
53, 106, 55
54, 97, 65
55, 81, 60
56, 63, 65
57, 59, 71
58, 65, 63
59, 56, 66
60, 50, 60
61, 41, 62
62, 35, 63
63, 33, 62
64, 33, 60
65, 34, 57
66, 36, 54
67, 34, 55
68, 36, 57
69, 32, 48
70, 40, 47
71, 38, 42
72, 28, 38
73, 27, 34
74, 29, 31
75, 32, 25
76, 35, 24
77, 40, 25
78, 42, 26
79, 52, 25
80, 60, 26
81, 73, 26
82, 86, 23
83, 101, 14
84, 113, 14
85, 114, 17
86, 117, 18
87, 124, 17
88, 123, 15
89, 125, 18
90, 123, 18
91, 112, 19
92, 116, 17
93, 108, 19
94, 120, 20
95, 115, 22
96, 107, 22
97, 96, 25
98, 94, 27
99, 96, 24
100, 101, 31
101, 92, 34
102, 85, 38
103, 90, 41
104, 100, 35
105, 94, 37
106, 89, 40
107, 90, 37
108, 84, 38
109, 83, 35
110, 83, 34
111, 90, 36
112, 90, 40
113, 80, 48
114, 77, 49
115, 78, 48
116, 91, 49
117, 83, 48
118, 90, 48
119, 88, 47
120, 95, 39
121, 87, 37
122, 74, 40
123, 78, 41
124, 81, 46
125, 86, 41
126, 73, 46
127, 74, 47
128, 82, 40
129, 84, 35
130, 89, 43
131, 78, 38
132, 87, 40
133, 87, 39
134, 93, 39
135, 84, 41
136, 82, 46
137, 89, 43
138, 83, 44
139, 85, 44
140, 91, 45
141, 80, 45
142, 85, 37
143, 90, 41
144, 82, 40
145, 93, 39
146, 88, 43
147, 92, 34
148, 97, 34
149, 103, 31
150, 100, 31
151, 97, 33
152, 102, 31
153, 99, 28
154, 102, 36
155, 93, 37
156, 87, 43
157, 86, 51
158, 75, 54
159, 72, 60
160, 66, 61
161, 58, 59
162, 63, 60
163, 54, 57
164, 55, 51
165, 52, 49
166, 48, 48
167, 51, 50
168, 42, 43
169, 42, 47
170, 39, 45
171, 41, 41
172, 43, 38
173, 46, 40
174, 46, 35
175, 53, 35
176, 63, 35
177, 64, 35
178, 66, 30
179, 71, 31
180, 83, 32
181, 87, 34
182, 93, 30
183, 105, 32
184, 103, 32
185, 101, 31
186, 107, 33
187, 108, 31
188, 106, 33
189, 105, 35
190, 106, 32
191, 95, 37
192, 89, 35
193, 89, 38
194, 97, 41
195, 83, 38
196, 81, 33
197, 75, 35
198, 81, 42
199, 78, 37
200, 93, 46
201, 95, 51
202, 79, 52
203, 71, 47
204, 86, 46
205, 79, 50
206, 76, 51
207, 69, 49
208, 79, 46
209, 79, 53
210, 81, 48
211, 69, 48
212, 70, 49
213, 76, 51
214, 72, 48
215, 71, 50
216, 78, 51
217, 85, 51
218, 76, 49
219, 76, 48
220, 81, 43
221, 94, 41
222, 88, 42
223, 86, 39
224, 82, 38
225, 85, 37
226, 96, 39
227, 101, 35
228, 100, 35
229, 94, 29
230, 95, 27
231, 95, 25
232, 98, 28
233, 100, 27
234, 99, 28
235, 109, 28
236, 105, 30
237, 110, 30
238, 105, 31
239, 102, 36
240, 101, 38
241, 106, 30
242, 99, 32
243, 102, 35
244, 105, 31
245, 88, 37
246, 92, 43
247, 103, 41
248, 90, 38
249, 99, 38
