# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 45, 0
2, 78, 0
3, 97, 0
4, 96, 0
5, 102, 0
6, 120, 0
7, 133, 0
8, 146, 0
9, 152, 0
10, 163, 0
11, 165, 0
12, 179, 0
13, 187, 0
14, 188, 0
15, 189, 0
16, 191, 0
17, 187, 0
18, 195, 0
19, 193, 0
20, 199, 0
21, 199, 0
22, 204, 0
23, 200, 0
24, 192, 0
25, 197, 0
26, 201, 0
27, 202, 0
28, 209, 0
29, 214, 0
30, 220, 0
31, 223, 0
32, 212, 0
33, 217, 0
34, 219, 0
35, 225, 0
36, 212, 0
37, 216, 0
38, 207, 0
39, 211, 0
40, 217, 0
41, 224, 0
42, 212, 0
43, 214, 0
44, 211, 0
45, 210, 0
46, 205, 0
47, 198, 0
48, 201, 0
49, 198, 0
50, 207, 20
51, 148, 30
52, 121, 44
53, 99, 51
54, 82, 64
55, 64, 70
56, 65, 67
57, 53, 67
58, 48, 63
59, 35, 73
60, 31, 74
61, 29, 70
62, 31, 69
63, 25, 67
64, 23, 62
65, 27, 57
66, 20, 47
67, 20, 48
68, 19, 44
69, 20, 35
70, 23, 30
71, 28, 25
72, 30, 25
73, 34, 24
74, 42, 24
75, 43, 22
76, 48, 22
77, 52, 14
78, 62, 13
79, 67, 9
80, 79, 9
81, 98, 11
82, 113, 11
83, 116, 14
84, 119, 14
85, 129, 14
86, 125, 15
87, 122, 21
88, 120, 24
89, 105, 24
90, 113, 25
91, 109, 27
92, 112, 24
93, 104, 30
94, 98, 32
95, 97, 36
96, 85, 43
97, 73, 51
98, 62, 54
99, 57, 58
100, 62, 65
101, 58, 64
102, 57, 66
103, 53, 64
104, 49, 63
105, 44, 65
106, 36, 65
107, 30, 64
108, 23, 66
109, 28, 58
110, 18, 60
111, 23, 56
112, 22, 56
113, 27, 45
114, 23, 36
115, 29, 38
116, 26, 34
117, 26, 33
118, 29, 27
119, 37, 20
120, 34, 19
121, 38, 16
122, 44, 15
123, 50, 18
124, 56, 18
125, 67, 15
126, 75, 16
127, 85, 14
128, 97, 12
129, 105, 12
130, 110, 11
131, 108, 10
132, 126, 12
133, 124, 16
134, 130, 16
135, 124, 17
136, 132, 14
137, 130, 16
138, 132, 17
139, 127, 21
140, 119, 21
141, 121, 24
142, 113, 25
143, 117, 29
144, 104, 31
145, 95, 31
146, 85, 31
147, 99, 29
148, 90, 31
149, 90, 33
150, 87, 42
151, 82, 44
152, 76, 45
153, 81, 41
154, 85, 40
155, 78, 38
156, 78, 46
157, 76, 46
158, 87, 39
159, 71, 46
160, 71, 45
161, 77, 43
162, 74, 48
163, 71, 50
164, 70, 54
165, 72, 52
166, 69, 59
167, 75, 56
168, 76, 52
169, 73, 51
170, 81, 49
171, 80, 54
172, 80, 45
173, 79, 49
174, 86, 47
175, 87, 46
176, 90, 42
177, 96, 42
178, 90, 41
179, 93, 41
180, 89, 45
181, 87, 46
182, 88, 47
183, 86, 45
184, 90, 50
185, 76, 54
186, 87, 44
187, 79, 50
188, 82, 48
189, 86, 47
