# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 49, 0
2, 82, 0
3, 104, 0
4, 110, 0
5, 122, 0
6, 127, 0
7, 136, 0
8, 149, 0
9, 165, 0
10, 156, 0
11, 166, 0
12, 169, 0
13, 179, 0
14, 196, 0
15, 201, 0
16, 194, 0
17, 191, 0
18, 185, 0
19, 196, 0
20, 184, 0
21, 183, 0
22, 186, 0
23, 183, 0
24, 180, 0
25, 184, 0
26, 196, 0
27, 200, 0
28, 200, 0
29, 199, 0
30, 210, 0
31, 215, 0
32, 211, 0
33, 207, 0
34, 196, 0
35, 197, 0
36, 201, 0
37, 198, 0
38, 202, 0
39, 205, 0
40, 213, 0
41, 205, 0
42, 199, 0
43, 196, 0
44, 194, 0
45, 198, 0
46, 209, 0
47, 205, 0
48, 208, 0
49, 200, 0
50, 203, 20
51, 157, 31
52, 127, 44
53, 122, 51
54, 89, 58
55, 78, 64
56, 68, 57
57, 61, 64
58, 46, 64
59, 43, 65
60, 46, 64
61, 39, 68
62, 36, 62
63, 34, 59
64, 32, 57
65, 27, 62
66, 27, 59
67, 24, 60
68, 24, 52
69, 29, 47
70, 20, 37
71, 19, 36
72, 23, 31
73, 23, 31
74, 25, 33
75, 26, 34
76, 26, 30
77, 25, 24
78, 34, 19
79, 38, 17
80, 45, 16
81, 47, 11
82, 50, 11
83, 60, 9
84, 67, 7
85, 74, 11
86, 86, 12
87, 101, 11
88, 106, 10
89, 126, 10
90, 129, 11
91, 126, 13
92, 123, 14
93, 132, 17
94, 131, 22
95, 128, 24
96, 127, 27
97, 123, 25
98, 104, 32
99, 100, 32
100, 99, 32
101, 104, 34
102, 99, 39
103, 88, 38
104, 86, 40
105, 94, 39
106, 103, 37
107, 80, 37
108, 88, 41
109, 97, 41
110, 95, 42
111, 92, 45
112, 95, 49
113, 86, 45
114, 86, 46
115, 91, 48
116, 89, 56
117, 83, 57
118, 75, 52
119, 70, 57
120, 77, 48
121, 73, 44
122, 76, 50
123, 78, 48
124, 84, 51
125, 88, 51
126, 81, 48
127, 79, 48
128, 87, 43
129, 80, 48
130, 82, 48
131, 82, 48
132, 80, 44
133, 83, 42
134, 81, 49
135, 80, 48
136, 85, 52
137, 95, 50
138, 84, 44
139, 77, 46
140, 84, 44
141, 91, 47
142, 86, 38
143, 93, 44
144, 101, 44
145, 92, 48
146, 102, 40
147, 95, 44
148, 99, 40
149, 87, 41
150, 95, 40
151, 98, 43
152, 89, 47
153, 87, 43
154, 90, 48
155, 79, 43
156, 98, 37
157, 99, 41
158, 100, 37
159, 93, 41
160, 95, 39
161, 86, 35
162, 94, 37
163, 104, 39
164, 103, 38
165, 96, 38
166, 90, 37
167, 92, 35
168, 92, 37
169, 98, 36
170, 100, 29
171, 111, 32
172, 104, 32
173, 93, 36
174, 89, 41
175, 92, 43
176, 87, 34
177, 91, 31
178, 95, 41
179, 93, 39
180, 85, 40
181, 87, 33
182, 83, 32
183, 81, 31
184, 83, 34
185, 95, 30
186, 99, 31
187, 81, 27
188, 79, 32
189, 83, 28
190, 76, 30
191, 63, 30
192, 68, 33
193, 75, 39
194, 73, 37
195, 68, 42
196, 64, 40
197, 79, 36
198, 85, 36
199, 95, 36
200, 89, 40
201, 96, 42
202, 96, 41
203, 92, 43
204, 99, 43
205, 98, 39
206, 102, 37
207, 89, 42
208, 92, 45
209, 87, 46
210, 89, 50
211, 80, 48
212, 86, 47
213, 82, 46
214, 74, 45
215, 81, 43
216, 83, 43
217, 83, 43
218, 85, 44
219, 86, 44
220, 95, 42
221, 88, 40
222, 94, 39
223, 88, 43
224, 92, 45
225, 75, 49
226, 83, 44
227, 73, 51
228, 81, 47
229, 83, 42
230, 78, 47
231, 77, 45
232, 70, 47
233, 67, 46
234, 73, 48
235, 74, 45
236, 73, 47
237, 65, 46
238, 70, 42
239, 73, 48
240, 84, 47
241, 83, 47
242, 73, 45
243, 75, 43
244, 79, 41
245, 73, 40
246, 81, 36
247, 79, 39
248, 76, 37
249, 83, 41
