# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 88, 0
3, 104, 0
4, 107, 0
5, 122, 0
6, 134, 0
7, 151, 0
8, 156, 0
9, 169, 0
10, 164, 0
11, 175, 0
12, 185, 0
13, 182, 0
14, 184, 0
15, 196, 0
16, 195, 0
17, 194, 0
18, 190, 0
19, 192, 0
20, 191, 0
21, 196, 0
22, 198, 0
23, 199, 0
24, 196, 0
25, 207, 0
26, 212, 0
27, 201, 0
28, 205, 0
29, 212, 0
30, 212, 0
31, 235, 0
32, 234, 0
33, 231, 0
34, 229, 0
35, 223, 0
36, 222, 0
37, 207, 0
38, 205, 0
39, 211, 0
40, 207, 0
41, 206, 0
42, 203, 0
43, 203, 0
44, 206, 0
45, 204, 0
46, 213, 0
47, 205, 0
48, 198, 0
49, 199, 0
50, 190, 20
51, 147, 33
52, 114, 44
53, 98, 58
54, 90, 64
55, 85, 70
56, 81, 64
57, 75, 62
58, 73, 66
59, 66, 61
60, 58, 64
61, 62, 68
62, 56, 60
63, 57, 59
64, 55, 59
65, 42, 57
66, 42, 56
67, 43, 57
68, 48, 56
69, 37, 58
70, 39, 56
71, 38, 56
72, 40, 53
73, 36, 53
74, 38, 52
75, 30, 47
76, 31, 48
77, 36, 40
78, 40, 37
79, 48, 34
80, 53, 28
81, 54, 26
82, 61, 24
83, 80, 19
84, 89, 13
85, 102, 11
86, 118, 9
87, 115, 5
88, 130, 4
89, 139, 3
90, 139, 4
91, 146, 3
92, 148, 4
93, 154, 5
94, 155, 6
95, 155, 7
96, 157, 6
97, 164, 6
98, 152, 8
99, 149, 7
100, 158, 9
101, 148, 10
102, 158, 7
103, 151, 9
104, 147, 11
105, 146, 13
106, 142, 16
107, 133, 18
108, 130, 18
109, 130, 17
110, 126, 19
111, 123, 16
112, 130, 18
113, 123, 22
114, 116, 22
115, 114, 25
116, 107, 30
117, 99, 34
118, 95, 39
119, 88, 41
120, 89, 46
121, 76, 41
122, 73, 43
123, 73, 41
124, 75, 47
125, 66, 52
126, 60, 58
127, 67, 61
128, 66, 60
129, 67, 52
130, 69, 49
131, 67, 46
132, 73, 48
133, 83, 46
134, 85, 43
135, 93, 44
136, 89, 47
137, 83, 44
138, 81, 44
139, 78, 48
140, 75, 46
141, 73, 46
142, 69, 40
143, 71, 43
144, 79, 37
145, 87, 38
146, 87, 42
147, 85, 46
148, 88, 51
149, 97, 49
150, 93, 47
151, 96, 44
152, 97, 43
153, 96, 42
154, 108, 37
155, 103, 33
156, 96, 31
157, 88, 30
158, 97, 32
159, 91, 31
160, 90, 29
161, 102, 33
162, 90, 32
163, 84, 36
164, 86, 35
165, 100, 36
166, 85, 39
167, 71, 40
168, 74, 42
169, 70, 40
170, 78, 41
171, 75, 35
172, 84, 37
173, 88, 39
174, 87, 35
175, 101, 37
176, 89, 38
177, 100, 38
178, 99, 38
179, 92, 38
180, 99, 36
181, 94, 42
182, 94, 40
183, 95, 35
184, 88, 36
185, 86, 40
186, 88, 42
187, 91, 45
188, 84, 47
189, 85, 46
190, 92, 50
191, 91, 48
192, 86, 43
193, 86, 43
194, 86, 46
195, 78, 48
196, 82, 43
197, 90, 46
198, 90, 39
199, 96, 33
200, 100, 33
201, 94, 42
202, 86, 45
203, 93, 46
204, 89, 46
205, 80, 48
206, 84, 50
207, 81, 52
208, 85, 46
209, 93, 40
210, 90, 39
211, 72, 40
212, 78, 39
213, 83, 41
214, 79, 46
215, 77, 45
216, 74, 40
217, 80, 44
218, 84, 47
219, 83, 42
220, 83, 42
221, 82, 33
222, 94, 31
223, 96, 40
224, 98, 43
225, 95, 37
226, 84, 38
227, 82, 43
228, 92, 46
229, 86, 46
230, 94, 46
231, 90, 48
232, 89, 49
233, 88, 44
234, 89, 42
235, 96, 41
236, 96, 43
237, 84, 46
238, 91, 41
239, 88, 47
240, 84, 45
241, 84, 42
242, 92, 37
243, 92, 35
244, 96, 35
245, 96, 40
246, 102, 40
247, 95, 39
248, 86, 40
249, 92, 37
