# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 49, 0
2, 77, 0
3, 98, 0
4, 104, 0
5, 110, 0
6, 119, 0
7, 138, 0
8, 142, 0
9, 152, 0
10, 159, 0
11, 171, 0
12, 178, 0
13, 180, 0
14, 187, 0
15, 189, 0
16, 201, 0
17, 208, 0
18, 213, 0
19, 215, 0
20, 209, 0
21, 205, 0
22, 212, 0
23, 212, 0
24, 218, 0
25, 221, 0
26, 221, 0
27, 219, 0
28, 212, 0
29, 208, 0
30, 204, 0
31, 205, 0
32, 215, 0
33, 213, 0
34, 216, 0
35, 211, 0
36, 209, 0
37, 207, 0
38, 212, 0
39, 207, 0
40, 201, 0
41, 206, 0
42, 198, 0
43, 210, 0
44, 208, 0
45, 201, 0
46, 207, 0
47, 203, 0
48, 202, 0
49, 198, 0
50, 207, 20
51, 148, 33
52, 107, 47
53, 87, 55
54, 85, 59
55, 66, 63
56, 63, 62
57, 58, 68
58, 49, 65
59, 49, 67
60, 43, 70
61, 34, 67
62, 35, 62
63, 32, 58
64, 30, 54
65, 25, 51
66, 24, 48
67, 24, 51
68, 20, 48
69, 19, 45
70, 21, 45
71, 17, 46
72, 17, 44
73, 17, 41
74, 14, 35
75, 12, 34
76, 16, 28
77, 17, 24
78, 18, 16
79, 19, 16
80, 26, 16
81, 25, 13
82, 37, 11
83, 40, 8
84, 47, 7
85, 58, 5
86, 67, 3
87, 80, 4
88, 97, 4
89, 105, 5
90, 123, 5
91, 133, 5
92, 138, 6
93, 149, 7
94, 157, 7
95, 141, 11
96, 138, 12
97, 149, 14
98, 140, 12
99, 139, 15
100, 136, 18
101, 150, 21
102, 140, 21
103, 134, 21
104, 129, 26
105, 118, 29
106, 117, 31
107, 105, 29
108, 96, 33
109, 98, 37
110, 88, 44
111, 83, 47
112, 78, 43
113, 79, 44
114, 90, 45
115, 87, 43
116, 84, 43
117, 86, 45
118, 84, 44
119, 89, 45
120, 77, 45
121, 81, 48
122, 84, 40
123, 86, 33
124, 86, 34
125, 87, 37
126, 83, 37
127, 92, 33
128, 82, 36
129, 85, 33
130, 84, 36
131, 86, 34
132, 84, 39
133, 80, 41
134, 76, 43
135, 76, 42
136, 70, 44
137, 73, 46
138, 78, 42
139, 77, 47
140, 73, 45
141, 84, 49
142, 87, 47
143, 83, 54
144, 91, 55
145, 85, 50
146, 86, 51
147, 85, 50
