# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 81, 0
3, 96, 0
4, 99, 0
5, 114, 0
6, 129, 0
7, 151, 0
8, 164, 0
9, 157, 0
10, 164, 0
11, 165, 0
12, 171, 0
13, 162, 0
14, 169, 0
15, 179, 0
16, 185, 0
17, 191, 0
18, 199, 0
19, 205, 0
20, 192, 0
21, 190, 0
22, 197, 0
23, 200, 0
24, 210, 0
25, 202, 0
26, 196, 0
27, 205, 0
28, 200, 0
29, 200, 0
30, 205, 0
31, 210, 0
32, 216, 0
33, 215, 0
34, 207, 0
35, 211, 0
36, 204, 0
37, 204, 0
38, 198, 0
39, 207, 0
40, 210, 0
41, 198, 0
42, 197, 0
43, 195, 0
44, 188, 0
45, 184, 0
46, 198, 0
47, 199, 0
48, 192, 0
49, 192, 0
50, 193, 20
51, 156, 34
52, 127, 44
53, 101, 51
54, 92, 56
55, 83, 60
56, 76, 57
57, 69, 54
58, 69, 55
59, 53, 51
60, 51, 53
61, 45, 66
62, 45, 66
63, 47, 58
64, 43, 56
65, 35, 62
66, 29, 62
67, 23, 66
68, 25, 53
69, 25, 52
70, 28, 51
71, 23, 51
72, 18, 49
73, 20, 46
74, 19, 42
75, 25, 31
76, 26, 26
77, 24, 24
78, 27, 21
79, 31, 17
80, 28, 20
81, 38, 18
82, 40, 15
83, 49, 16
84, 62, 14
85, 70, 12
86, 86, 11
87, 104, 9
88, 107, 9
89, 110, 11
90, 107, 9
91, 123, 10
92, 131, 10
93, 140, 13
94, 138, 11
95, 130, 11
96, 129, 13
97, 138, 17
98, 118, 14
99, 118, 17
100, 107, 21
101, 111, 23
102, 102, 27
103, 97, 33
104, 101, 36
105, 94, 38
106, 94, 43
107, 93, 47
108, 87, 50
109, 94, 51
110, 82, 51
111, 88, 50
112, 77, 51
113, 73, 52
114, 71, 49
115, 86, 47
116, 93, 44
117, 80, 48
118, 80, 48
119, 81, 44
120, 83, 43
121, 75, 50
122, 82, 44
123, 79, 42
124, 73, 45
125, 74, 44
126, 79, 43
127, 84, 45
128, 87, 45
129, 84, 46
130, 85, 43
131, 82, 43
132, 87, 42
133, 92, 37
134, 87, 40
135, 91, 42
136, 93, 42
137, 81, 50
138, 79, 47
139, 90, 34
140, 99, 29
141, 80, 36
142, 91, 40
143, 93, 45
144, 84, 50
145, 80, 48
146, 75, 48
147, 68, 48
148, 78, 49
149, 85, 45
150, 88, 42
151, 89, 43
152, 89, 46
153, 84, 50
154, 84, 49
155, 81, 45
156, 86, 42
157, 89, 41
158, 87, 43
159, 80, 40
160, 88, 40
161, 91, 39
162, 92, 42
163, 87, 44
164, 81, 48
165, 83, 45
166, 94, 39
167, 88, 35
168, 74, 35
169, 81, 37
170, 95, 42
171, 87, 41
172, 79, 41
173, 74, 45
174, 83, 54
175, 82, 47
176, 72, 50
177, 85, 49
178, 88, 44
179, 82, 43
180, 81, 46
181, 76, 45
182, 86, 48
183, 92, 44
184, 95, 44
185, 88, 44
186, 85, 45
187, 88, 47
