# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 74, 0
3, 87, 0
4, 96, 0
5, 104, 0
6, 111, 0
7, 123, 0
8, 148, 0
9, 154, 0
10, 158, 0
11, 162, 0
12, 166, 0
13, 178, 0
14, 165, 0
15, 179, 0
16, 185, 0
17, 190, 0
18, 188, 0
19, 179, 0
20, 189, 0
21, 200, 0
22, 197, 0
23, 198, 0
24, 209, 0
25, 205, 0
26, 210, 0
27, 212, 0
28, 215, 0
29, 221, 0
30, 213, 0
31, 207, 0
32, 215, 0
33, 205, 0
34, 203, 0
35, 203, 0
36, 194, 0
37, 190, 0
38, 195, 0
39, 198, 0
40, 200, 0
41, 198, 0
42, 206, 0
43, 197, 0
44, 199, 0
45, 197, 0
46, 204, 0
47, 214, 0
48, 202, 0
49, 199, 0
50, 200, 20
51, 147, 36
52, 115, 46
53, 99, 53
54, 84, 59
55, 81, 64
56, 77, 61
57, 81, 61
58, 90, 62
59, 79, 64
60, 76, 63
61, 70, 62
62, 55, 61
63, 49, 58
64, 41, 57
65, 33, 59
66, 22, 55
67, 20, 57
68, 22, 53
69, 24, 51
70, 26, 46
71, 20, 46
72, 24, 46
73, 24, 44
74, 27, 40
75, 28, 33
76, 36, 31
77, 35, 26
78, 31, 26
79, 35, 23
80, 36, 27
81, 37, 26
82, 50, 24
83, 58, 23
84, 71, 20
85, 75, 16
86, 85, 14
87, 95, 13
88, 105, 15
89, 106, 20
90, 114, 19
91, 107, 17
92, 116, 18
93, 114, 22
94, 118, 27
95, 104, 30
96, 108, 31
97, 100, 35
98, 92, 37
99, 78, 36
100, 89, 40
101, 74, 42
102, 73, 44
103, 71, 47
104, 69, 51
105, 82, 45
106, 81, 48
107, 84, 46
108, 89, 50
109, 75, 52
110, 78, 52
111, 76, 58
112, 69, 62
113, 67, 65
114, 56, 67
115, 49, 61
116, 52, 56
117, 50, 58
118, 47, 58
119, 40, 60
120, 41, 58
121, 45, 50
122, 51, 48
123, 52, 45
124, 54, 43
125, 59, 36
126, 60, 38
127, 58, 36
128, 63, 35
129, 65, 33
130, 76, 31
131, 85, 31
132, 87, 33
133, 98, 34
134, 91, 35
135, 99, 31
136, 100, 28
137, 108, 29
138, 104, 27
139, 112, 23
140, 111, 27
141, 123, 28
142, 121, 28
143, 109, 27
144, 111, 28
145, 121, 29
146, 112, 28
147, 108, 35
148, 99, 34
149, 94, 33
150, 95, 35
151, 92, 41
152, 94, 38
153, 92, 33
154, 99, 35
155, 96, 34
156, 88, 36
157, 83, 39
158, 82, 40
159, 88, 39
160, 87, 44
161, 74, 45
162, 70, 52
163, 56, 53
164, 57, 55
165, 57, 53
166, 58, 51
167, 47, 52
168, 49, 49
169, 44, 50
170, 53, 44
171, 57, 45
172, 48, 40
173, 56, 44
174, 52, 45
175, 48, 48
176, 47, 40
177, 45, 43
178, 44, 41
179, 42, 37
180, 46, 36
181, 45, 34
182, 55, 31
183, 59, 34
184, 66, 40
185, 73, 39
186, 74, 37
187, 81, 41
188, 84, 35
189, 85, 37
190, 92, 36
191, 90, 41
192, 84, 48
193, 81, 45
194, 85, 42
195, 85, 35
196, 94, 44
197, 97, 42
198, 90, 39
199, 96, 30
200, 94, 32
201, 97, 32
202, 95, 37
203, 101, 32
204, 103, 28
205, 105, 30
206, 93, 33
207, 88, 34
208, 87, 30
209, 94, 36
210, 82, 38
211, 100, 40
212, 91, 44
213, 77, 48
214, 82, 51
215, 83, 51
216, 83, 56
217, 80, 53
218, 78, 51
219, 79, 50
220, 80, 51
221, 82, 56
222, 85, 57
223, 91, 60
224, 90, 57
225, 81, 55
226, 78, 51
227, 74, 47
228, 66, 44
229, 57, 44
230, 53, 44
231, 51, 52
232, 56, 49
233, 52, 53
234, 48, 52
235, 49, 46
236, 47, 50
237, 46, 51
238, 43, 52
239, 46, 50
240, 46, 46
241, 44, 43
242, 48, 36
243, 57, 32
244, 63, 32
245, 61, 31
246, 58, 32
247, 68, 29
248, 74, 28
249, 84, 29
