# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 48, 0
2, 82, 0
3, 97, 0
4, 114, 0
5, 119, 0
6, 130, 0
7, 136, 0
8, 154, 0
9, 158, 0
10, 175, 0
11, 180, 0
12, 186, 0
13, 189, 0
14, 187, 0
15, 192, 0
16, 197, 0
17, 193, 0
18, 198, 0
19, 193, 0
20, 194, 0
21, 198, 0
22, 196, 0
23, 195, 0
24, 197, 0
25, 199, 0
26, 200, 0
27, 208, 0
28, 206, 0
29, 207, 0
30, 206, 0
31, 204, 0
32, 203, 0
33, 200, 0
34, 195, 0
35, 189, 0
36, 194, 0
37, 198, 0
38, 203, 0
39, 219, 0
40, 226, 0
41, 229, 0
42, 224, 0
43, 219, 0
44, 208, 0
45, 207, 0
46, 210, 0
47, 215, 0
48, 210, 0
49, 213, 0
50, 198, 20
51, 140, 33
52, 123, 42
53, 107, 48
54, 93, 52
55, 99, 59
56, 75, 55
57, 75, 58
58, 71, 57
59, 64, 64
60, 59, 62
61, 51, 63
62, 48, 63
63, 49, 59
64, 43, 62
65, 37, 61
66, 41, 60
67, 33, 60
68, 32, 58
69, 29, 55
70, 25, 53
71, 20, 57
72, 23, 55
73, 29, 51
74, 26, 47
75, 24, 37
76, 24, 38
77, 28, 32
78, 33, 31
79, 40, 24
80, 49, 18
81, 50, 20
82, 61, 19
83, 67, 16
84, 71, 13
85, 85, 14
86, 93, 14
87, 108, 14
88, 119, 12
89, 117, 14
90, 117, 13
91, 132, 15
92, 131, 16
93, 128, 19
94, 122, 23
95, 123, 21
96, 116, 25
97, 110, 22
98, 112, 27
99, 103, 25
100, 92, 29
101, 102, 32
102, 89, 34
103, 90, 38
104, 79, 41
105, 85, 38
106, 89, 39
107, 78, 43
108, 90, 44
109, 92, 42
110, 88, 44
111, 90, 36
112, 84, 44
113, 73, 49
114, 75, 52
115, 76, 51
116, 83, 50
117, 81, 51
118, 92, 53
119, 82, 57
120, 82, 51
121, 90, 52
122, 93, 47
123, 88, 47
124, 89, 49
125, 83, 45
126, 83, 45
127, 78, 50
128, 72, 47
129, 85, 53
130, 90, 53
131, 79, 60
132, 77, 68
133, 76, 64
134, 75, 65
135, 83, 62
136, 76, 55
137, 76, 63
138, 80, 56
139, 79, 51
140, 77, 53
141, 80, 51
142, 74, 54
143, 64, 52
144, 68, 47
145, 63, 49
146, 59, 44
147, 59, 41
148, 70, 43
149, 76, 42
150, 72, 44
151, 73, 40
152, 75, 45
153, 81, 43
154, 86, 39
155, 87, 42
156, 92, 42
157, 95, 51
158, 95, 43
159, 103, 40
160, 91, 36
161, 94, 37
162, 91, 36
163, 96, 34
164, 92, 39
165, 97, 42
166, 96, 40
167, 101, 38
168, 105, 33
169, 110, 37
170, 101, 39
171, 101, 39
172, 79, 36
173, 98, 39
174, 96, 41
175, 93, 42
176, 96, 44
177, 90, 43
178, 96, 43
179, 88, 46
180, 95, 49
181, 82, 53
182, 84, 62
183, 89, 59
184, 87, 66
185, 89, 65
186, 83, 67
187, 75, 67
188, 70, 68
189, 68, 51
190, 71, 48
191, 69, 54
192, 78, 53
193, 80, 45
194, 78, 42
195, 77, 42
196, 77, 45
197, 78, 41
198, 83, 45
199, 81, 43
200, 85, 42
201, 89, 42
202, 85, 43
203, 82, 44
204, 91, 48
205, 89, 48
206, 95, 50
207, 101, 53
208, 104, 45
209, 97, 32
210, 112, 34
211, 99, 33
212, 97, 34
213, 106, 34
214, 103, 30
215, 90, 31
216, 88, 33
217, 110, 26
218, 114, 22
219, 116, 24
220, 110, 27
221, 113, 27
222, 117, 27
223, 129, 30
224, 123, 26
225, 122, 24
226, 109, 23
227, 111, 25
228, 98, 28
229, 109, 29
230, 102, 36
231, 106, 43
232, 94, 42
233, 97, 44
234, 93, 49
235, 82, 45
236, 88, 50
237, 87, 55
238, 89, 62
239, 88, 59
240, 75, 55
241, 73, 62
242, 80, 56
243, 68, 56
244, 64, 52
245, 58, 47
246, 61, 47
247, 59, 51
248, 56, 52
249, 60, 44
