# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 44, 0
2, 70, 0
3, 86, 0
4, 96, 0
5, 107, 0
6, 129, 0
7, 142, 0
8, 147, 0
9, 156, 0
10, 157, 0
11, 162, 0
12, 179, 0
13, 185, 0
14, 188, 0
15, 189, 0
16, 190, 0
17, 198, 0
18, 206, 0
19, 212, 0
20, 212, 0
21, 207, 0
22, 217, 0
23, 208, 0
24, 210, 0
25, 213, 0
26, 208, 0
27, 214, 0
28, 215, 0
29, 212, 0
30, 207, 0
31, 212, 0
32, 217, 0
33, 212, 0
34, 211, 0
35, 205, 0
36, 203, 0
37, 209, 0
38, 216, 0
39, 218, 0
40, 207, 0
41, 210, 0
42, 206, 0
43, 215, 0
44, 209, 0
45, 196, 0
46, 192, 0
47, 187, 0
48, 190, 0
49, 177, 0
50, 181, 20
51, 133, 33
52, 110, 45
53, 92, 54
54, 86, 57
55, 87, 61
56, 87, 55
57, 79, 53
58, 74, 56
59, 79, 61
60, 58, 62
61, 43, 67
62, 46, 69
63, 44, 68
64, 40, 70
65, 44, 64
66, 39, 62
67, 43, 60
68, 33, 57
69, 27, 51
70, 33, 50
71, 35, 44
72, 31, 41
73, 28, 46
74, 27, 45
75, 25, 41
76, 27, 40
77, 30, 38
78, 34, 32
79, 39, 31
80, 39, 24
81, 43, 24
82, 43, 22
83, 48, 18
84, 53, 19
85, 52, 15
86, 59, 14
87, 75, 13
88, 90, 13
89, 98, 11
90, 114, 10
91, 126, 10
92, 132, 7
93, 126, 7
94, 124, 11
95, 125, 13
96, 132, 16
97, 143, 14
98, 139, 14
99, 131, 17
100, 120, 19
101, 122, 23
102, 129, 25
103, 114, 28
104, 115, 31
105, 106, 33
106, 86, 42
107, 71, 44
108, 79, 44
109, 77, 50
110, 71, 50
111, 56, 62
112, 59, 61
113, 60, 56
114, 59, 51
115, 49, 55
116, 52, 56
117, 55, 57
118, 49, 55
119, 52, 54
120, 49, 50
121, 42, 48
122, 38, 45
123, 38, 42
124, 43, 43
125, 41, 45
126, 48, 46
127, 45, 37
128, 47, 38
129, 49, 40
130, 51, 42
131, 61, 41
132, 60, 35
133, 66, 35
134, 68, 32
135, 83, 28
136, 98, 23
137, 104, 20
138, 113, 18
139, 119, 18
140, 120, 19
141, 121, 24
142, 123, 28
143, 130, 20
144, 122, 20
145, 115, 23
146, 120, 27
147, 102, 29
148, 87, 34
149, 95, 33
150, 93, 38
151, 99, 45
152, 90, 43
153, 82, 45
154, 82, 48
155, 81, 48
156, 74, 38
157, 80, 43
158, 72, 41
