# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 77, 0
3, 97, 0
4, 108, 0
5, 116, 0
6, 125, 0
7, 143, 0
8, 157, 0
9, 161, 0
10, 173, 0
11, 164, 0
12, 171, 0
13, 174, 0
14, 187, 0
15, 196, 0
16, 191, 0
17, 193, 0
18, 196, 0
19, 205, 0
20, 203, 0
21, 204, 0
22, 202, 0
23, 201, 0
24, 214, 0
25, 216, 0
26, 204, 0
27, 200, 0
28, 194, 0
29, 194, 0
30, 194, 0
31, 203, 0
32, 206, 0
33, 200, 0
34, 206, 0
35, 212, 0
36, 199, 0
37, 200, 0
38, 190, 0
39, 193, 0
40, 196, 0
41, 183, 0
42, 189, 0
43, 195, 0
44, 200, 0
45, 212, 0
46, 214, 0
47, 211, 0
48, 207, 0
49, 206, 0
50, 211, 20
51, 155, 32
52, 121, 40
53, 110, 47
54, 83, 52
55, 85, 63
56, 85, 65
57, 86, 66
58, 76, 58
59, 73, 55
60, 67, 64
61, 60, 59
62, 61, 60
63, 52, 61
64, 48, 59
65, 45, 61
66, 34, 63
67, 27, 54
68, 28, 49
69, 27, 54
70, 25, 47
71, 25, 39
72, 21, 35
73, 21, 40
74, 19, 38
75, 17, 35
76, 20, 28
77, 23, 24
78, 30, 20
79, 37, 20
80, 40, 20
81, 46, 15
82, 56, 15
83, 72, 12
84, 90, 8
85, 98, 9
86, 103, 7
87, 119, 9
88, 133, 11
89, 125, 7
90, 137, 10
91, 147, 9
92, 145, 9
93, 144, 11
94, 148, 14
95, 145, 14
96, 135, 14
97, 135, 11
98, 145, 15
99, 140, 17
100, 136, 21
101, 122, 22
102, 123, 29
103, 103, 33
104, 90, 37
105, 93, 43
106, 87, 47
107, 82, 47
108, 90, 46
109, 83, 44
110, 74, 47
111, 70, 44
112, 73, 45
113, 68, 51
114, 75, 54
115, 70, 56
116, 62, 47
117, 59, 46
118, 53, 45
119, 52, 53
120, 50, 48
121, 47, 46
122, 46, 49
123, 43, 50
124, 48, 48
125, 54, 49
126, 57, 48
127, 54, 45
128, 54, 42
129, 55, 47
130, 48, 36
131, 45, 37
132, 53, 39
133, 59, 34
134, 63, 34
135, 79, 34
136, 80, 30
137, 87, 25
138, 87, 25
139, 98, 23
140, 101, 23
141, 111, 25
142, 106, 25
143, 100, 25
144, 99, 30
145, 90, 38
146, 85, 43
147, 88, 43
148, 84, 45
149, 80, 47
150, 84, 44
151, 86, 46
152, 85, 45
153, 84, 42
154, 83, 46
155, 79, 49
156, 76, 51
157, 78, 50
158, 80, 44
159, 88, 40
160, 86, 48
161, 80, 49
162, 75, 44
163, 83, 44
164, 76, 47
165, 74, 48
166, 72, 46
167, 78, 43
168, 66, 44
169, 67, 45
170, 71, 41
171, 75, 43
172, 76, 42
173, 73, 40
174, 69, 40
175, 69, 35
176, 73, 33
177, 74, 33
178, 79, 30
179, 85, 30
180, 81, 31
181, 94, 29
182, 104, 29
183, 100, 27
184, 102, 30
185, 109, 36
186, 104, 35
187, 104, 33
