# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 44, 0
2, 73, 0
3, 90, 0
4, 94, 0
5, 101, 0
6, 120, 0
7, 138, 0
8, 141, 0
9, 154, 0
10, 154, 0
11, 164, 0
12, 170, 0
13, 179, 0
14, 190, 0
15, 198, 0
16, 207, 0
17, 204, 0
18, 208, 0
19, 213, 0
20, 214, 0
21, 203, 0
22, 195, 0
23, 197, 0
24, 200, 0
25, 192, 0
26, 198, 0
27, 200, 0
28, 210, 0
29, 211, 0
30, 208, 0
31, 215, 0
32, 206, 0
33, 208, 0
34, 210, 0
35, 210, 0
36, 218, 0
37, 211, 0
38, 217, 0
39, 201, 0
40, 194, 0
41, 201, 0
42, 200, 0
43, 207, 0
44, 203, 0
45, 200, 0
46, 200, 0
47, 195, 0
48, 195, 0
49, 207, 0
50, 202, 20
51, 147, 34
52, 122, 37
53, 110, 42
54, 88, 45
55, 78, 50
56, 79, 55
57, 67, 57
58, 68, 60
59, 68, 63
60, 53, 67
61, 42, 73
62, 53, 65
63, 44, 66
64, 38, 69
65, 35, 62
66, 36, 62
67, 33, 59
68, 30, 56
69, 25, 54
70, 17, 50
71, 18, 42
72, 22, 41
73, 21, 39
74, 23, 34
75, 19, 23
76, 23, 25
77, 26, 23
78, 30, 18
79, 35, 17
80, 39, 16
81, 46, 14
82, 49, 12
83, 53, 12
84, 66, 9
85, 82, 7
86, 96, 9
87, 109, 10
88, 121, 7
89, 137, 8
90, 135, 5
91, 143, 4
92, 151, 5
93, 153, 6
94, 157, 7
95, 153, 10
96, 144, 11
97, 144, 9
98, 148, 9
99, 149, 14
100, 158, 15
101, 154, 14
102, 152, 15
103, 150, 15
104, 130, 16
105, 126, 20
106, 115, 24
107, 110, 25
108, 111, 28
109, 98, 27
110, 99, 29
111, 95, 32
112, 92, 35
113, 88, 35
114, 91, 35
115, 92, 42
116, 89, 46
117, 82, 43
118, 69, 41
119, 72, 42
120, 68, 39
121, 65, 46
122, 71, 50
123, 74, 47
124, 66, 46
125, 62, 44
126, 69, 50
127, 65, 44
128, 63, 41
129, 67, 39
130, 75, 43
131, 80, 45
132, 81, 51
133, 71, 55
134, 74, 50
135, 80, 45
136, 83, 39
137, 93, 38
138, 91, 32
139, 94, 31
140, 107, 28
141, 101, 29
142, 100, 31
143, 104, 27
144, 103, 31
145, 93, 36
146, 96, 41
147, 98, 38
148, 95, 36
149, 92, 40
150, 88, 38
151, 93, 40
152, 90, 41
153, 95, 38
154, 81, 35
155, 80, 41
156, 80, 37
157, 78, 39
158, 86, 34
