# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 47, 0
2, 76, 0
3, 103, 0
4, 110, 0
5, 120, 0
6, 129, 0
7, 145, 0
8, 162, 0
9, 172, 0
10, 186, 0
11, 191, 0
12, 190, 0
13, 187, 0
14, 186, 0
15, 191, 0
16, 193, 0
17, 187, 0
18, 192, 0
19, 192, 0
20, 185, 0
21, 189, 0
22, 194, 0
23, 202, 0
24, 198, 0
25, 198, 0
26, 200, 0
27, 198, 0
28, 200, 0
29, 200, 0
30, 210, 0
31, 203, 0
32, 199, 0
33, 197, 0
34, 204, 0
35, 196, 0
36, 196, 0
37, 190, 0
38, 191, 0
39, 202, 0
40, 200, 0
41, 206, 0
42, 200, 0
43, 203, 0
44, 197, 0
45, 203, 0
46, 204, 0
47, 198, 0
48, 199, 0
49, 209, 0
50, 210, 20
51, 150, 33
52, 121, 51
53, 98, 58
54, 82, 69
55, 72, 72
56, 66, 69
57, 55, 78
58, 48, 76
59, 42, 79
60, 39, 79
61, 28, 74
62, 22, 71
63, 19, 71
64, 12, 63
65, 13, 56
66, 12, 60
67, 8, 58
68, 9, 49
69, 9, 41
70, 11, 36
71, 9, 29
72, 13, 23
73, 15, 21
74, 11, 19
75, 12, 19
76, 16, 16
77, 17, 12
78, 21, 11
79, 20, 9
80, 24, 7
81, 31, 8
82, 41, 5
83, 48, 4
84, 57, 3
85, 66, 4
86, 82, 4
87, 101, 4
88, 107, 3
89, 110, 6
90, 119, 8
91, 119, 10
92, 124, 12
93, 123, 15
94, 123, 18
95, 116, 19
96, 115, 20
97, 107, 16
98, 113, 19
99, 120, 20
100, 124, 22
101, 109, 25
102, 107, 25
103, 115, 26
104, 105, 28
105, 92, 31
106, 104, 31
107, 102, 33
108, 89, 36
109, 75, 34
110, 88, 36
111, 83, 37
112, 86, 40
113, 80, 36
114, 79, 39
115, 81, 42
116, 89, 43
117, 92, 40
118, 95, 38
119, 91, 40
120, 88, 38
121, 97, 39
122, 106, 41
123, 91, 46
124, 91, 44
125, 88, 42
126, 105, 40
127, 96, 38
128, 94, 33
129, 101, 32
130, 93, 37
131, 99, 34
132, 90, 36
133, 99, 36
134, 103, 34
135, 92, 36
136, 86, 41
137, 91, 40
138, 84, 40
139, 80, 41
140, 74, 42
141, 80, 40
142, 83, 40
143, 83, 41
144, 82, 44
145, 79, 42
146, 86, 42
147, 76, 41
148, 78, 44
149, 82, 48
150, 83, 45
151, 88, 42
152, 84, 46
153, 88, 51
154, 89, 52
155, 86, 54
156, 82, 51
157, 96, 43
158, 95, 41
159, 98, 40
160, 93, 40
161, 98, 40
162, 95, 43
163, 89, 40
164, 92, 39
165, 102, 34
166, 99, 35
167, 98, 36
168, 92, 38
169, 93, 38
170, 113, 36
171, 100, 40
172, 101, 37
173, 95, 34
174, 91, 39
175, 95, 43
176, 92, 40
177, 94, 39
178, 91, 38
179, 86, 40
180, 94, 38
181, 83, 41
182, 78, 37
183, 89, 38
184, 81, 44
185, 74, 42
186, 76, 44
187, 82, 45
