# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 46, 0
2, 75, 0
3, 81, 0
4, 93, 0
5, 111, 0
6, 126, 0
7, 135, 0
8, 141, 0
9, 147, 0
10, 159, 0
11, 167, 0
12, 177, 0
13, 191, 0
14, 192, 0
15, 185, 0
16, 187, 0
17, 197, 0
18, 196, 0
19, 195, 0
20, 204, 0
21, 205, 0
22, 208, 0
23, 212, 0
24, 217, 0
25, 211, 0
26, 205, 0
27, 209, 0
28, 210, 0
29, 206, 0
30, 209, 0
31, 209, 0
32, 202, 0
33, 204, 0
34, 213, 0
35, 207, 0
36, 206, 0
37, 210, 0
38, 220, 0
39, 225, 0
40, 221, 0
41, 225, 0
42, 214, 0
43, 207, 0
44, 200, 0
45, 198, 0
46, 209, 0
47, 202, 0
48, 196, 0
49, 200, 0
50, 193, 20
51, 140, 35
52, 116, 43
53, 91, 40
54, 95, 46
55, 79, 54
56, 72, 60
57, 69, 64
58, 68, 67
59, 58, 64
60, 44, 69
61, 34, 64
62, 34, 67
63, 34, 66
64, 32, 59
65, 28, 54
66, 24, 51
67, 19, 51
68, 16, 51
69, 13, 51
70, 13, 51
71, 11, 51
72, 16, 42
73, 14, 36
74, 12, 32
75, 14, 25
76, 18, 21
77, 20, 18
78, 23, 14
79, 28, 10
80, 38, 7
81, 47, 7
82, 51, 7
83, 57, 7
84, 78, 8
85, 97, 8
86, 105, 8
87, 102, 8
88, 111, 10
89, 115, 14
90, 119, 12
91, 130, 14
92, 134, 12
93, 140, 11
94, 148, 12
95, 154, 12
96, 135, 14
97, 132, 16
98, 122, 20
99, 110, 23
100, 115, 29
101, 112, 30
102, 112, 35
103, 103, 39
104, 89, 39
105, 89, 35
106, 89, 36
107, 87, 34
108, 85, 32
109, 87, 39
110, 78, 44
111, 86, 42
112, 94, 41
113, 90, 45
114, 87, 50
115, 79, 52
116, 82, 57
117, 93, 51
118, 89, 49
119, 79, 53
120, 79, 54
121, 77, 57
122, 76, 61
123, 79, 52
124, 77, 55
125, 60, 59
126, 53, 56
127, 54, 58
128, 49, 60
129, 47, 55
130, 40, 53
131, 41, 53
132, 42, 57
133, 43, 46
134, 40, 43
135, 38, 42
136, 35, 48
137, 36, 48
138, 34, 51
139, 34, 47
140, 36, 44
141, 38, 42
142, 38, 38
143, 33, 37
144, 39, 35
145, 37, 34
146, 37, 32
147, 44, 28
148, 55, 28
149, 61, 29
150, 65, 28
151, 73, 24
152, 86, 24
153, 95, 25
154, 100, 23
155, 89, 28
156, 100, 25
157, 111, 26
158, 101, 29
159, 96, 25
160, 98, 26
161, 101, 22
162, 92, 28
163, 99, 31
164, 97, 33
165, 99, 36
166, 99, 37
167, 104, 35
168, 93, 34
169, 89, 37
170, 88, 37
171, 96, 32
172, 96, 35
173, 95, 35
174, 95, 36
175, 92, 37
176, 82, 37
177, 84, 39
178, 81, 43
179, 93, 48
180, 82, 47
181, 71, 47
182, 69, 46
183, 74, 49
184, 81, 47
185, 79, 50
186, 80, 48
187, 83, 47
188, 79, 45
189, 85, 47
190, 81, 46
191, 79, 42
192, 85, 43
193, 86, 41
194, 92, 38
195, 101, 43
196, 88, 47
197, 92, 51
198, 92, 50
199, 85, 56
200, 86, 56
201, 85, 59
202, 73, 53
203, 64, 59
204, 57, 63
205, 47, 66
206, 49, 68
207, 46, 63
208, 54, 60
209, 52, 62
210, 55, 65
211, 59, 60
212, 48, 55
213, 54, 52
214, 60, 54
215, 56, 49
216, 55, 45
217, 59, 42
218, 54, 46
219, 52, 50
220, 49, 56
221, 45, 65
222, 47, 56
223, 55, 53
224, 55, 50
225, 55, 45
226, 62, 43
227, 72, 44
228, 73, 50
229, 74, 51
230, 81, 49
231, 92, 41
232, 91, 39
233, 98, 37
234, 102, 26
235, 100, 27
236, 96, 26
237, 86, 29
238, 104, 31
239, 104, 31
240, 105, 28
241, 96, 28
242, 102, 26
243, 99, 25
244, 106, 26
245, 107, 28
246, 111, 30
247, 101, 29
248, 102, 25
249, 104, 25
250, 114, 23
251, 112, 20
252, 117, 21
253, 115, 21
254, 107, 24
255, 121, 26
256, 113, 28
257, 102, 32
258, 101, 33
259, 92, 35
260, 87, 37
261, 84, 34
262, 89, 38
263, 84, 41
264, 90, 42
265, 87, 39
266, 84, 45
267, 86, 49
268, 78, 46
269, 81, 46
270, 83, 41
271, 85, 38
272, 89, 45
273, 81, 50
274, 88, 44
275, 94, 48
276, 88, 42
277, 86, 44
278, 82, 51
279, 83, 37
280, 89, 38
281, 87, 41
282, 76, 49
283, 81, 57
284, 85, 54
285, 77, 50
286, 80, 47
287, 76, 50
288, 78, 44
289, 67, 43
290, 71, 44
291, 75, 48
292, 82, 47
293, 74, 46
294, 72, 48
295, 83, 47
296, 88, 50
297, 90, 41
298, 96, 34
299, 99, 31
300, 100, 36
301, 84, 39
302, 85, 42
303, 73, 39
304, 66, 43
305, 66, 49
306, 68, 48
307, 67, 50
308, 63, 43
309, 63, 39
310, 67, 42
