# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 48, 0
2, 83, 0
3, 99, 0
4, 110, 0
5, 122, 0
6, 132, 0
7, 150, 0
8, 157, 0
9, 170, 0
10, 179, 0
11, 187, 0
12, 179, 0
13, 172, 0
14, 181, 0
15, 193, 0
16, 197, 0
17, 188, 0
18, 185, 0
19, 189, 0
20, 200, 0
21, 194, 0
22, 197, 0
23, 190, 0
24, 184, 0
25, 192, 0
26, 195, 0
27, 188, 0
28, 200, 0
29, 209, 0
30, 199, 0
31, 201, 0
32, 196, 0
33, 188, 0
34, 188, 0
35, 195, 0
36, 191, 0
37, 186, 0
38, 199, 0
39, 199, 0
40, 188, 0
41, 189, 0
42, 182, 0
43, 182, 0
44, 185, 0
45, 189, 0
46, 201, 0
47, 206, 0
48, 201, 0
49, 201, 0
50, 204, 20
51, 149, 37
52, 125, 44
53, 92, 52
54, 75, 55
55, 68, 52
56, 66, 56
57, 58, 50
58, 53, 55
59, 53, 53
60, 49, 52
61, 45, 60
62, 41, 60
63, 38, 55
64, 42, 50
65, 43, 52
66, 42, 49
67, 42, 48
68, 32, 45
69, 34, 46
70, 40, 40
71, 38, 37
72, 42, 44
73, 44, 40
74, 47, 39
75, 56, 39
76, 61, 30
77, 71, 27
78, 78, 26
79, 79, 26
80, 93, 24
81, 103, 20
82, 106, 21
83, 110, 20
84, 121, 17
85, 126, 19
86, 121, 23
87, 119, 19
88, 124, 22
89, 110, 22
90, 114, 24
91, 104, 27
92, 106, 28
93, 101, 30
94, 97, 33
95, 96, 42
96, 100, 37
97, 88, 38
98, 81, 39
99, 78, 37
100, 74, 37
101, 87, 42
102, 78, 45
103, 83, 44
104, 79, 46
105, 80, 46
106, 89, 42
107, 81, 44
108, 81, 39
109, 87, 44
110, 79, 44
111, 78, 43
112, 81, 41
113, 80, 42
114, 76, 41
115, 78, 42
116, 85, 42
117, 75, 40
118, 79, 40
119, 87, 42
120, 85, 44
121, 80, 46
122, 87, 48
123, 77, 44
124, 86, 50
125, 87, 41
126, 95, 44
127, 88, 46
128, 80, 42
129, 91, 41
130, 88, 44
131, 80, 43
132, 89, 44
133, 85, 44
134, 89, 39
135, 87, 41
136, 89, 50
137, 84, 50
138, 79, 45
139, 86, 39
140, 83, 45
141, 91, 45
142, 98, 47
143, 89, 42
144, 92, 44
145, 87, 42
146, 97, 47
147, 84, 54
148, 88, 55
149, 90, 51
150, 87, 40
151, 74, 48
152, 79, 43
153, 76, 45
154, 87, 48
155, 79, 50
156, 76, 47
157, 76, 47
158, 84, 41
159, 79, 44
160, 83, 46
161, 89, 45
162, 91, 47
163, 87, 41
164, 98, 35
165, 108, 30
166, 104, 25
167, 105, 22
168, 103, 26
169, 107, 23
170, 102, 24
171, 101, 27
172, 103, 31
173, 91, 37
174, 89, 40
175, 99, 47
176, 95, 43
177, 100, 44
178, 95, 47
179, 101, 40
180, 102, 41
181, 101, 38
182, 93, 38
183, 85, 45
184, 88, 47
185, 97, 49
186, 88, 46
187, 88, 50
188, 97, 43
189, 93, 43
190, 87, 42
191, 79, 48
192, 83, 39
193, 82, 35
194, 75, 36
195, 78, 38
196, 93, 42
197, 87, 39
198, 88, 38
199, 89, 35
200, 90, 36
201, 95, 32
202, 91, 37
203, 88, 41
204, 90, 36
205, 85, 39
206, 91, 42
