# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 50, 0
2, 89, 0
3, 98, 0
4, 103, 0
5, 119, 0
6, 135, 0
7, 161, 0
8, 167, 0
9, 177, 0
10, 186, 0
11, 174, 0
12, 191, 0
13, 199, 0
14, 197, 0
15, 195, 0
16, 204, 0
17, 197, 0
18, 191, 0
19, 197, 0
20, 202, 0
21, 213, 0
22, 217, 0
23, 212, 0
24, 214, 0
25, 217, 0
26, 222, 0
27, 219, 0
28, 220, 0
29, 214, 0
30, 214, 0
31, 211, 0
32, 212, 0
33, 209, 0
34, 204, 0
35, 206, 0
36, 203, 0
37, 199, 0
38, 195, 0
39, 195, 0
40, 186, 0
41, 193, 0
42, 206, 0
43, 206, 0
44, 206, 0
45, 201, 0
46, 198, 0
47, 189, 0
48, 196, 0
49, 195, 0
50, 199, 20
51, 151, 33
52, 119, 41
53, 110, 49
54, 103, 54
55, 95, 59
56, 80, 63
57, 72, 62
58, 60, 73
59, 63, 73
60, 54, 72
61, 45, 67
62, 46, 64
63, 41, 62
64, 36, 60
65, 30, 60
66, 31, 61
67, 25, 63
68, 18, 58
69, 17, 54
70, 14, 50
71, 16, 48
72, 14, 49
73, 11, 43
74, 13, 37
75, 17, 31
76, 18, 23
77, 21, 16
78, 29, 12
79, 27, 14
80, 29, 11
81, 39, 10
82, 50, 7
83, 57, 6
84, 73, 5
85, 88, 3
86, 104, 2
87, 120, 2
88, 123, 2
89, 133, 4
90, 134, 4
91, 146, 4
92, 147, 4
93, 157, 6
94, 160, 6
95, 158, 7
96, 145, 11
97, 136, 14
98, 135, 18
99, 126, 19
100, 133, 19
101, 128, 24
102, 124, 24
103, 113, 27
104, 93, 33
105, 94, 37
106, 89, 41
107, 88, 46
108, 88, 47
109, 82, 44
110, 80, 41
111, 79, 45
112, 74, 49
113, 76, 48
114, 70, 57
115, 69, 53
116, 74, 51
117, 70, 55
118, 57, 61
119, 57, 60
120, 56, 53
121, 56, 59
122, 43, 56
123, 35, 52
124, 34, 53
125, 30, 49
126, 27, 54
127, 29, 54
128, 27, 44
129, 28, 45
130, 29, 39
131, 27, 37
132, 32, 34
133, 33, 34
134, 32, 32
135, 32, 28
136, 42, 26
137, 48, 23
138, 57, 23
139, 58, 20
140, 66, 21
141, 75, 15
142, 86, 16
143, 94, 20
144, 95, 17
145, 108, 18
146, 108, 21
147, 113, 20
148, 112, 22
149, 107, 24
150, 112, 26
151, 107, 32
152, 100, 35
153, 90, 39
154, 93, 42
155, 83, 43
156, 78, 49
157, 76, 48
158, 77, 46
159, 79, 47
160, 77, 50
161, 83, 46
162, 76, 50
163, 70, 54
164, 74, 51
165, 69, 47
166, 73, 49
167, 76, 52
168, 68, 57
169, 74, 56
170, 81, 55
171, 85, 54
172, 81, 55
173, 78, 54
174, 79, 50
175, 90, 46
176, 97, 46
177, 94, 39
178, 99, 39
179, 96, 36
180, 96, 39
181, 95, 41
182, 87, 40
183, 95, 38
184, 101, 41
185, 112, 32
186, 106, 36
187, 110, 36
188, 104, 30
189, 98, 29
190, 99, 33
191, 86, 35
192, 88, 31
193, 89, 35
194, 86, 40
195, 89, 38
196, 83, 41
197, 77, 38
198, 66, 42
199, 76, 42
200, 78, 42
201, 74, 43
202, 71, 43
203, 75, 47
204, 76, 46
205, 84, 48
206, 78, 49
207, 79, 47
208, 88, 50
209, 88, 50
210, 87, 50
211, 83, 49
212, 79, 45
213, 78, 43
214, 73, 42
215, 83, 42
216, 93, 45
217, 94, 41
218, 91, 37
219, 102, 42
220, 92, 43
221, 87, 42
222, 83, 46
223, 87, 46
224, 79, 40
225, 85, 39
226, 88, 36
227, 99, 35
228, 90, 35
229, 93, 34
230, 110, 34
231, 105, 33
232, 111, 30
233, 106, 29
234, 105, 28
235, 101, 31
236, 98, 31
237, 87, 34
238, 89, 36
239, 88, 39
240, 95, 36
241, 90, 34
242, 92, 36
243, 92, 33
244, 88, 37
245, 93, 39
246, 88, 43
247, 83, 43
248, 78, 41
249, 86, 39
250, 97, 39
251, 93, 44
252, 105, 42
253, 90, 38
254, 87, 42
255, 91, 41
256, 92, 42
257, 91, 46
258, 91, 40
259, 84, 44
260, 86, 48
261, 94, 43
262, 96, 36
263, 105, 37
264, 102, 43
265, 88, 42
266, 89, 45
267, 87, 43
268, 87, 40
269, 88, 38
270, 96, 35
271, 82, 36
272, 90, 33
273, 84, 40
274, 91, 41
275, 80, 44
276, 86, 40
277, 74, 41
278, 83, 43
279, 87, 45
280, 83, 45
281, 86, 41
282, 94, 42
283, 91, 40
284, 94, 35
285, 90, 42
286, 87, 42
287, 94, 41
288, 94, 42
289, 97, 34
290, 100, 29
291, 94, 35
292, 103, 29
293, 102, 29
294, 103, 28
295, 99, 27
296, 95, 29
297, 96, 25
298, 90, 29
299, 95, 32
300, 105, 33
301, 102, 32
302, 105, 35
303, 104, 35
304, 101, 39
305, 101, 39
306, 94, 40
307, 88, 38
308, 95, 34
309, 98, 36
310, 99, 38
311, 102, 33
312, 97, 33
313, 96, 36
314, 98, 38
315, 104, 39
316, 98, 38
317, 100, 38
318, 94, 34
319, 89, 33
320, 84, 35
321, 95, 37
322, 91, 42
323, 90, 47
324, 94, 48
325, 95, 52
326, 83, 53
327, 78, 51
328, 69, 52
329, 73, 59
330, 70, 56
331, 60, 52
332, 64, 52
333, 72, 56
334, 67, 56
335, 70, 48
336, 77, 46
337, 81, 41
338, 80, 41
339, 77, 40
340, 72, 40
341, 77, 38
342, 75, 43
343, 67, 48
344, 70, 54
345, 65, 57
346, 68, 57
347, 64, 53
348, 63, 46
349, 56, 40
350, 59, 44
351, 61, 45
352, 66, 46
353, 66, 47
354, 73, 40
355, 79, 41
356, 75, 41
357, 90, 43
358, 76, 46
359, 80, 50
360, 88, 43
361, 88, 36
362, 98, 32
363, 88, 31
364, 93, 33
365, 89, 34
366, 77, 33
367, 85, 35
368, 91, 40
369, 89, 39
370, 91, 39
371, 94, 36
372, 90, 39
373, 83, 33
374, 89, 37
375, 94, 42
376, 89, 39
377, 82, 47
378, 81, 50
379, 74, 56
380, 80, 50
381, 79, 50
382, 77, 50
383, 89, 51
384, 84, 50
385, 79, 51
386, 72, 51
387, 73, 47
388, 78, 52
389, 85, 45
390, 80, 50
391, 79, 51
392, 90, 45
393, 83, 42
394, 85, 44
395, 79, 51
396, 83, 50
397, 86, 48
398, 79, 49
399, 81, 43
400, 82, 43
401, 75, 47
402, 84, 46
403, 93, 40
404, 94, 37
405, 87, 35
406, 94, 36
407, 97, 35
408, 87, 33
409, 97, 31
410, 102, 32
411, 105, 32
412, 107, 29
413, 102, 25
414, 100, 26
415, 112, 29
416, 106, 31
417, 104, 29
418, 96, 36
419, 89, 34
420, 96, 32
421, 103, 35
422, 96, 32
423, 100, 30
424, 113, 34
425, 102, 29
426, 94, 31
427, 87, 34
428, 98, 32
429, 101, 33
430, 105, 31
431, 104, 32
432, 96, 29
433, 96, 24
434, 97, 30
435, 97, 32
436, 107, 37
437, 116, 36
438, 97, 37
439, 99, 46
440, 87, 50
441, 88, 49
442, 80, 44
443, 91, 36
444, 84, 41
445, 81, 42
446, 87, 46
447, 88, 37
448, 85, 39
449, 81, 39
450, 90, 42
451, 97, 44
452, 78, 42
453, 84, 46
454, 90, 49
455, 100, 40
456, 95, 42
457, 85, 33
458, 83, 35
459, 91, 43
460, 87, 45
461, 86, 39
462, 80, 32
463, 93, 36
464, 86, 34
465, 93, 34
466, 103, 33
467, 98, 37
468, 98, 40
469, 105, 35
470, 99, 38
471, 93, 42
472, 90, 39
473, 94, 38
474, 95, 39
475, 109, 34
476, 100, 30
477, 102, 33
478, 96, 33
479, 93, 43
480, 89, 43
481, 84, 41
482, 89, 36
483, 89, 36
484, 89, 37
485, 86, 42
486, 90, 44
487, 95, 38
488, 98, 38
489, 83, 32
490, 86, 37
491, 89, 39
492, 83, 35
493, 85, 40
494, 93, 40
495, 85, 39
496, 88, 47
497, 81, 46
498, 87, 42
499, 91, 45
500, 97, 44
501, 100, 48
502, 89, 43
503, 91, 41
504, 86, 41
505, 94, 44
506, 87, 45
507, 87, 45
508, 87, 51
509, 74, 48
510, 87, 47
511, 84, 45
512, 92, 44
513, 107, 40
514, 93, 38
515, 99, 37
516, 91, 39
517, 98, 35
518, 95, 39
519, 95, 39
520, 83, 36
521, 87, 36
522, 96, 43
523, 86, 47
524, 89, 51
525, 77, 49
526, 86, 50
527, 89, 43
528, 75, 45
529, 78, 43
530, 77, 44
531, 82, 39
532, 73, 39
533, 77, 45
534, 85, 43
535, 89, 42
536, 88, 43
537, 88, 44
538, 94, 45
539, 88, 45
540, 77, 45
541, 85, 38
542, 92, 38
543, 96, 38
544, 88, 41
545, 89, 41
546, 83, 44
547, 87, 47
548, 94, 43
549, 80, 49
550, 75, 47
551, 80, 48
552, 85, 49
553, 86, 41
554, 77, 44
555, 88, 41
556, 85, 39
557, 86, 39
558, 86, 39
559, 78, 33
560, 79, 35
561, 81, 38
562, 83, 37
563, 87, 35
564, 77, 33
565, 86, 32
566, 88, 31
567, 91, 32
568, 75, 38
569, 83, 41
570, 89, 43
571, 82, 38
572, 90, 31
573, 97, 30
574, 93, 31
575, 108, 28
576, 102, 29
577, 107, 27
578, 106, 24
579, 107, 26
580, 104, 30
581, 107, 32
582, 102, 35
583, 105, 36
584, 102, 33
585, 101, 38
586, 101, 38
587, 99, 38
588, 103, 36
589, 96, 40
590, 95, 40
591, 99, 38
592, 98, 40
593, 95, 46
594, 84, 48
595, 88, 41
596, 89, 41
597, 83, 43
598, 88, 42
599, 83, 44
600, 86, 38
601, 87, 33
602, 76, 37
603, 80, 40
604, 73, 36
605, 75, 32
606, 79, 37
607, 87, 37
608, 87, 41
609, 83, 43
610, 97, 47
611, 89, 49
612, 97, 45
613, 91, 45
614, 91, 47
615, 90, 48
616, 73, 44
617, 92, 42
618, 94, 42
619, 86, 45
620, 88, 44
621, 80, 44
622, 84, 45
623, 89, 36
624, 94, 40
625, 95, 45
626, 102, 49
627, 93, 45
628, 89, 45
629, 91, 48
630, 98, 47
631, 98, 46
632, 89, 47
633, 85, 43
634, 86, 41
635, 85, 39
636, 98, 40
637, 90, 42
638, 84, 40
639, 92, 48
640, 93, 46
641, 86, 43
642, 91, 49
643, 87, 54
644, 96, 43
645, 99, 39
646, 78, 42
