# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 46, 0
2, 82, 0
3, 103, 0
4, 107, 0
5, 120, 0
6, 138, 0
7, 156, 0
8, 161, 0
9, 175, 0
10, 183, 0
11, 189, 0
12, 200, 0
13, 199, 0
14, 189, 0
15, 193, 0
16, 191, 0
17, 182, 0
18, 188, 0
19, 200, 0
20, 207, 0
21, 194, 0
22, 197, 0
23, 195, 0
24, 194, 0
25, 197, 0
26, 197, 0
27, 199, 0
28, 196, 0
29, 204, 0
30, 199, 0
31, 196, 0
32, 198, 0
33, 206, 0
34, 193, 0
35, 205, 0
36, 196, 0
37, 203, 0
38, 205, 0
39, 206, 0
40, 197, 0
41, 201, 0
42, 202, 0
43, 193, 0
44, 193, 0
45, 194, 0
46, 196, 0
47, 214, 0
48, 212, 0
49, 212, 0
50, 205, 20
51, 150, 28
52, 123, 41
53, 102, 47
54, 97, 57
55, 79, 60
56, 62, 62
57, 65, 60
58, 65, 59
59, 67, 60
60, 63, 49
61, 64, 54
62, 62, 59
63, 55, 60
64, 50, 58
65, 38, 58
66, 37, 53
67, 40, 56
68, 33, 57
69, 28, 55
70, 18, 55
71, 15, 54
72, 15, 51
73, 18, 46
74, 17, 43
75, 16, 34
76, 16, 24
77, 18, 20
78, 20, 18
79, 21, 18
80, 28, 16
81, 33, 14
82, 41, 11
83, 49, 8
84, 62, 8
85, 82, 5
86, 86, 5
87, 105, 5
88, 124, 3
89, 132, 3
90, 143, 2
91, 150, 4
92, 142, 5
93, 150, 6
94, 160, 7
95, 152, 11
96, 152, 9
97, 153, 13
98, 156, 16
99, 150, 18
100, 138, 17
101, 126, 20
102, 117, 23
103, 109, 32
104, 110, 32
105, 109, 37
106, 93, 46
107, 90, 46
108, 78, 52
109, 79, 54
110, 80, 56
111, 71, 59
112, 73, 61
113, 72, 52
114, 72, 56
115, 64, 58
116, 56, 60
117, 51, 61
118, 45, 61
119, 46, 69
120, 34, 76
121, 30, 68
122, 31, 62
123, 30, 59
124, 25, 62
125, 22, 63
126, 25, 59
127, 24, 55
128, 25, 50
129, 26, 45
130, 19, 45
131, 17, 38
132, 19, 37
133, 22, 31
134, 27, 25
135, 32, 19
136, 33, 16
137, 41, 9
138, 51, 6
139, 51, 7
140, 61, 7
141, 75, 8
142, 99, 6
143, 112, 9
144, 118, 12
145, 131, 12
146, 138, 10
147, 143, 10
148, 144, 13
149, 138, 14
150, 138, 17
151, 129, 20
152, 120, 23
153, 119, 24
154, 105, 29
155, 96, 28
156, 95, 28
157, 97, 32
158, 90, 35
159, 86, 35
160, 83, 36
161, 82, 38
162, 87, 37
163, 86, 43
164, 90, 39
165, 82, 35
166, 94, 34
167, 92, 38
168, 85, 40
169, 84, 43
170, 82, 43
171, 90, 49
172, 83, 52
173, 89, 46
174, 94, 47
175, 87, 47
176, 78, 55
177, 84, 54
178, 89, 58
179, 86, 53
180, 95, 50
181, 90, 51
182, 100, 49
183, 96, 44
184, 92, 42
185, 104, 43
186, 103, 44
187, 103, 39
188, 114, 38
189, 111, 35
190, 111, 38
191, 106, 35
192, 96, 36
193, 93, 41
194, 91, 33
195, 87, 36
196, 86, 40
197, 86, 39
198, 88, 45
199, 83, 44
200, 89, 50
201, 84, 55
202, 87, 55
203, 80, 48
204, 85, 46
205, 94, 45
206, 92, 44
207, 93, 41
208, 91, 37
209, 78, 39
210, 72, 45
211, 86, 39
212, 99, 38
213, 94, 38
214, 95, 37
215, 85, 37
216, 78, 38
217, 81, 42
218, 93, 43
219, 79, 37
220, 94, 30
221, 100, 37
222, 101, 39
223, 102, 39
224, 97, 34
225, 104, 36
226, 98, 36
227, 93, 31
228, 108, 35
229, 97, 33
230, 93, 31
231, 87, 35
232, 89, 38
233, 85, 38
234, 86, 41
235, 84, 39
236, 88, 42
237, 83, 40
238, 92, 41
239, 90, 38
240, 87, 39
241, 80, 38
242, 81, 38
243, 72, 44
244, 77, 44
245, 77, 46
246, 80, 48
247, 73, 49
248, 62, 46
249, 60, 50
250, 65, 54
251, 59, 52
252, 56, 52
253, 59, 54
254, 55, 54
255, 56, 56
256, 54, 61
257, 61, 50
258, 61, 50
259, 52, 46
260, 53, 42
261, 52, 40
262, 58, 36
263, 64, 35
264, 71, 34
265, 70, 34
266, 78, 34
267, 94, 33
268, 101, 32
269, 99, 34
270, 105, 37
271, 106, 39
272, 108, 40
273, 105, 37
274, 107, 36
275, 107, 35
276, 101, 38
277, 90, 42
278, 91, 39
279, 86, 39
280, 83, 41
281, 75, 41
282, 73, 38
283, 76, 43
284, 79, 48
285, 77, 44
286, 82, 46
287, 76, 49
288, 70, 52
289, 77, 50
290, 68, 51
291, 74, 53
292, 78, 58
293, 65, 60
294, 67, 61
295, 63, 63
296, 65, 63
297, 70, 71
298, 65, 66
299, 67, 55
300, 62, 63
301, 59, 61
302, 52, 56
303, 53, 56
304, 51, 49
305, 44, 48
306, 46, 48
307, 45, 51
308, 36, 47
309, 41, 49
310, 45, 43
