# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 44, 0
2, 74, 0
3, 93, 0
4, 100, 0
5, 105, 0
6, 120, 0
7, 131, 0
8, 139, 0
9, 144, 0
10, 163, 0
11, 171, 0
12, 173, 0
13, 169, 0
14, 183, 0
15, 188, 0
16, 189, 0
17, 186, 0
18, 189, 0
19, 191, 0
20, 201, 0
21, 202, 0
22, 206, 0
23, 205, 0
24, 202, 0
25, 206, 0
26, 210, 0
27, 214, 0
28, 210, 0
29, 212, 0
30, 199, 0
31, 194, 0
32, 200, 0
33, 201, 0
34, 214, 0
35, 200, 0
36, 203, 0
37, 200, 0
38, 207, 0
39, 204, 0
40, 202, 0
41, 211, 0
42, 210, 0
43, 209, 0
44, 204, 0
45, 204, 0
46, 199, 0
47, 194, 0
48, 190, 0
49, 186, 0
50, 187, 20
51, 135, 35
52, 114, 49
53, 99, 50
54, 95, 53
55, 76, 56
56, 68, 56
57, 67, 59
58, 69, 64
59, 63, 65
60, 70, 54
61, 69, 56
62, 62, 57
63, 58, 54
64, 57, 60
65, 60, 57
66, 48, 53
67, 42, 58
68, 38, 60
69, 30, 57
70, 25, 54
71, 27, 56
72, 31, 54
73, 30, 48
74, 33, 44
75, 34, 40
76, 33, 36
77, 34, 39
78, 36, 40
79, 37, 35
80, 40, 25
81, 49, 18
82, 56, 16
83, 70, 13
84, 85, 14
85, 97, 11
86, 108, 11
87, 110, 13
88, 119, 17
89, 116, 21
90, 108, 26
91, 99, 27
92, 104, 29
93, 97, 32
94, 98, 34
95, 85, 35
96, 90, 36
97, 87, 43
98, 96, 43
99, 83, 48
100, 78, 46
101, 77, 43
102, 66, 50
103, 73, 49
104, 67, 53
105, 67, 53
106, 71, 60
107, 68, 57
108, 65, 49
109, 61, 48
110, 62, 48
111, 65, 46
112, 71, 52
113, 69, 47
114, 67, 47
115, 64, 49
116, 63, 41
117, 65, 37
118, 72, 38
119, 80, 37
120, 72, 37
121, 73, 33
122, 77, 34
123, 82, 30
124, 81, 30
125, 97, 30
126, 94, 28
127, 95, 32
128, 100, 33
129, 96, 24
130, 94, 28
131, 99, 32
132, 105, 31
133, 97, 32
134, 97, 31
135, 101, 33
136, 102, 29
137, 98, 33
138, 79, 33
139, 83, 36
140, 92, 34
141, 99, 36
142, 88, 40
143, 80, 44
144, 80, 45
145, 79, 52
146, 72, 55
147, 61, 48
148, 62, 47
149, 73, 54
150, 57, 53
151, 63, 53
152, 62, 47
153, 65, 45
154, 67, 48
155, 64, 46
156, 59, 49
157, 58, 55
158, 55, 57
