# Year, Herbivore Count, Carnivore Count
0, 50, 0
1, 50, 0
2, 86, 0
3, 110, 0
4, 115, 0
5, 120, 0
6, 127, 0
7, 144, 0
8, 151, 0
9, 158, 0
10, 176, 0
11, 177, 0
12, 189, 0
13, 190, 0
14, 194, 0
15, 204, 0
16, 203, 0
17, 215, 0
18, 225, 0
19, 213, 0
20, 209, 0
21, 218, 0
22, 212, 0
23, 211, 0
24, 222, 0
25, 224, 0
26, 231, 0
27, 225, 0
28, 225, 0
29, 214, 0
30, 208, 0
31, 210, 0
32, 205, 0
33, 209, 0
34, 212, 0
35, 213, 0
36, 214, 0
37, 203, 0
38, 199, 0
39, 204, 0
40, 204, 0
41, 198, 0
42, 200, 0
43, 189, 0
44, 181, 0
45, 185, 0
46, 181, 0
47, 183, 0
48, 188, 0
49, 185, 0
50, 184, 20
51, 139, 31
52, 119, 41
53, 104, 49
54, 94, 54
55, 75, 49
56, 74, 55
57, 82, 62
58, 67, 67
59, 63, 58
60, 54, 65
61, 54, 63
62, 53, 65
63, 49, 65
64, 36, 63
65, 32, 58
66, 27, 61
67, 28, 58
68, 29, 60
69, 24, 56
70, 23, 55
71, 20, 55
72, 20, 52
73, 21, 47
74, 25, 36
75, 27, 30
76, 35, 22
77, 37, 18
78, 45, 19
79, 57, 17
80, 63, 13
81, 74, 14
82, 83, 10
83, 97, 9
84, 102, 12
85, 118, 10
86, 112, 14
87, 117, 15
88, 114, 13
89, 119, 17
90, 122, 15
91, 121, 17
92, 122, 16
93, 125, 18
94, 122, 21
95, 116, 20
96, 114, 24
97, 107, 28
98, 113, 27
99, 111, 28
100, 96, 30
101, 98, 31
102, 101, 30
103, 95, 35
104, 96, 36
105, 92, 40
106, 92, 35
107, 90, 36
108, 89, 37
109, 93, 41
110, 92, 42
111, 83, 45
112, 80, 48
113, 83, 49
114, 77, 51
115, 71, 55
116, 80, 50
117, 87, 47
118, 83, 42
119, 87, 49
120, 90, 45
121, 92, 48
122, 83, 43
123, 84, 44
124, 91, 48
125, 90, 46
126, 82, 40
127, 88, 41
128, 85, 40
129, 82, 42
130, 94, 45
131, 96, 42
132, 99, 44
133, 92, 42
134, 90, 29
135, 99, 29
136, 94, 37
137, 91, 39
138, 103, 40
139, 94, 45
140, 100, 40
141, 95, 41
142, 92, 46
143, 107, 35
144, 94, 37
145, 105, 39
146, 105, 34
147, 98, 37
148, 97, 40
149, 101, 42
150, 99, 45
151, 96, 41
152, 82, 44
153, 94, 45
154, 91, 48
155, 100, 49
156, 87, 50
157, 75, 47
158, 84, 38
159, 91, 38
160, 86, 35
161, 84, 39
162, 80, 42
163, 85, 41
164, 84, 39
165, 85, 42
166, 77, 48
167, 83, 43
168, 80, 43
169, 74, 39
170, 63, 42
171, 67, 45
172, 69, 43
173, 62, 39
174, 61, 44
175, 61, 44
176, 52, 42
177, 64, 45
178, 70, 43
179, 71, 39
180, 70, 43
181, 68, 40
182, 72, 39
183, 73, 37
184, 72, 35
185, 76, 37
186, 83, 35
187, 88, 36
188, 84, 37
189, 89, 33
190, 79, 31
191, 93, 35
192, 86, 38
193, 85, 42
194, 74, 45
195, 80, 42
196, 79, 40
197, 78, 38
198, 84, 39
199, 89, 41
200, 89, 36
201, 93, 40
202, 104, 36
203, 92, 38
204, 88, 33
205, 85, 33
206, 90, 36
207, 85, 39
208, 92, 43
209, 96, 46
210, 86, 48
211, 84, 45
212, 75, 48
213, 81, 44
214, 84, 47
215, 81, 33
216, 89, 36
217, 87, 37
218, 97, 38
219, 93, 43
220, 80, 46
221, 84, 46
222, 86, 49
223, 81, 49
224, 76, 53
225, 84, 48
226, 84, 47
227, 85, 49
228, 85, 47
229, 88, 47
230, 86, 46
231, 87, 43
232, 88, 46
233, 87, 43
234, 87, 46
235, 82, 46
236, 85, 39
237, 87, 43
238, 78, 44
239, 80, 48
240, 85, 50
241, 86, 48
242, 85, 40
243, 93, 34
244, 90, 41
245, 91, 43
246, 90, 50
247, 78, 56
248, 84, 63
249, 91, 59
250, 82, 57
251, 82, 51
252, 79, 51
253, 76, 49
254, 85, 45
255, 81, 45
256, 79, 45
257, 78, 43
258, 76, 37
259, 83, 36
260, 73, 40
261, 75, 41
262, 82, 37
263, 87, 33
264, 94, 31
265, 85, 36
266, 79, 38
267, 83, 37
268, 85, 38
269, 80, 42
270, 88, 42
271, 80, 48
272, 85, 56
273, 87, 54
274, 77, 55
275, 73, 55
276, 79, 53
277, 78, 47
278, 78, 46
279, 81, 46
280, 84, 43
281, 85, 48
282, 81, 43
283, 84, 38
284, 89, 40
285, 80, 41
286, 75, 45
287, 77, 42
288, 77, 42
289, 74, 44
290, 73, 44
291, 73, 38
292, 69, 40
293, 83, 38
294, 77, 41
295, 87, 40
296, 85, 36
297, 93, 33
298, 93, 34
299, 94, 39
300, 98, 37
301, 94, 37
302, 90, 42
303, 92, 41
304, 89, 47
305, 85, 43
306, 80, 43
307, 83, 42
308, 82, 39
309, 87, 34
310, 86, 35
311, 93, 41
312, 95, 42
313, 95, 45
314, 95, 44
315, 84, 49
316, 80, 44
317, 86, 42
318, 86, 47
319, 75, 47
320, 76, 50
321, 79, 48
322, 73, 47
323, 68, 54
324, 65, 55
325, 69, 55
326, 69, 55
327, 59, 47
328, 65, 53
329, 55, 47
330, 50, 55
331, 44, 53
332, 49, 53
333, 48, 56
334, 51, 50
335, 54, 52
336, 54, 48
337, 49, 46
338, 42, 41
339, 42, 41
340, 51, 43
341, 52, 42
342, 55, 37
343, 55, 33
344, 55, 33
345, 60, 35
346, 68, 31
347, 66, 29
348, 79, 26
349, 89, 23
350, 92, 20
351, 100, 23
352, 94, 21
353, 115, 20
354, 117, 21
355, 116, 21
356, 112, 23
357, 106, 23
358, 101, 21
359, 106, 23
360, 117, 24
361, 117, 23
362, 105, 26
363, 103, 29
364, 116, 32
365, 112, 35
366, 108, 37
367, 104, 33
368, 112, 34
369, 112, 36
370, 99, 36
371, 99, 31
372, 94, 34
373, 99, 33
374, 100, 34
375, 95, 42
376, 97, 45
377, 91, 49
378, 91, 48
379, 85, 53
380, 91, 52
381, 91, 47
382, 89, 51
383, 77, 46
384, 82, 48
385, 90, 47
386, 89, 45
387, 78, 45
388, 66, 49
389, 72, 42
390, 69, 41
391, 66, 43
392, 72, 41
393, 88, 41
394, 82, 45
395, 88, 41
396, 84, 40
397, 88, 35
398, 99, 34
399, 98, 38
400, 93, 32
401, 98, 29
402, 104, 33
403, 96, 31
404, 99, 28
405, 99, 24
406, 96, 23
407, 109, 28
408, 110, 23
409, 105, 28
410, 107, 27
411, 99, 30
412, 89, 37
413, 85, 37
414, 81, 41
415, 77, 47
416, 77, 52
417, 82, 51
418, 80, 47
419, 81, 53
420, 80, 50
421, 85, 44
422, 79, 45
423, 85, 45
424, 82, 46
425, 77, 51
426, 83, 46
427, 89, 49
428, 76, 51
429, 80, 50
430, 91, 51
431, 94, 43
432, 87, 44
433, 91, 43
434, 93, 48
435, 88, 53
436, 88, 51
437, 89, 47
438, 91, 40
439, 92, 34
440, 98, 31
441, 89, 30
442, 92, 28
443, 99, 35
444, 105, 35
445, 99, 37
446, 100, 39
447, 93, 37
448, 89, 42
449, 100, 43
450, 98, 40
451, 83, 39
452, 77, 38
453, 79, 35
454, 86, 34
455, 89, 35
456, 86, 32
457, 89, 35
458, 86, 30
459, 86, 32
460, 80, 29
461, 80, 36
462, 90, 40
463, 98, 43
464, 91, 45
465, 98, 40
466, 86, 43
467, 86, 41
468, 84, 45
469, 95, 45
470, 85, 51
471, 87, 52
472, 94, 55
473, 83, 47
474, 89, 39
475, 93, 43
476, 93, 43
477, 91, 45
478, 96, 44
479, 93, 46
480, 95, 42
481, 94, 38
482, 85, 41
483, 79, 37
484, 81, 42
485, 92, 43
486, 78, 45
487, 72, 45
488, 81, 48
489, 74, 42
490, 76, 41
491, 83, 42
492, 88, 37
493, 89, 36
494, 91, 36
495, 107, 35
496, 103, 29
497, 88, 32
498, 111, 35
499, 109, 33
500, 98, 34
501, 100, 34
502, 88, 37
503, 99, 40
504, 93, 40
505, 91, 40
506, 77, 39
507, 83, 33
508, 89, 36
509, 93, 42
510, 85, 43
511, 90, 43
512, 95, 42
513, 94, 37
514, 91, 35
515, 104, 36
516, 109, 37
517, 105, 36
518, 105, 36
519, 109, 35
520, 101, 34
521, 97, 38
522, 89, 37
523, 88, 40
524, 91, 33
525, 90, 35
526, 92, 33
527, 84, 37
528, 88, 41
529, 95, 44
530, 89, 43
531, 93, 48
532, 101, 41
533, 97, 41
534, 96, 39
535, 91, 41
536, 90, 42
537, 92, 36
538, 98, 37
539, 84, 36
540, 80, 38
541, 85, 37
542, 89, 46
543, 87, 38
544, 96, 39
545, 92, 40
546, 90, 44
547, 86, 48
548, 83, 44
549, 77, 44
550, 84, 47
551, 85, 50
552, 83, 48
553, 81, 46
554, 84, 43
555, 81, 43
556, 82, 39
557, 78, 42
558, 89, 39
559, 84, 44
560, 73, 39
561, 83, 40
562, 83, 41
563, 90, 40
564, 83, 40
565, 87, 45
566, 85, 42
567, 88, 40
568, 80, 36
569, 85, 37
570, 95, 38
571, 94, 39
572, 88, 36
573, 89, 35
574, 92, 35
575, 91, 31
576, 107, 33
577, 108, 33
578, 107, 31
579, 97, 39
580, 94, 41
581, 91, 42
582, 99, 44
583, 92, 46
584, 84, 41
585, 88, 41
586, 78, 41
587, 79, 41
588, 85, 44
589, 76, 53
590, 66, 45
591, 68, 47
592, 67, 44
593, 68, 48
594, 70, 47
595, 78, 50
596, 77, 47
597, 73, 50
598, 70, 49
599, 72, 52
600, 66, 50
601, 71, 46
602, 77, 43
603, 82, 42
604, 85, 41
605, 87, 37
606, 90, 37
607, 88, 32
608, 93, 30
609, 90, 32
610, 99, 31
611, 99, 35
612, 96, 31
613, 105, 36
614, 117, 28
615, 117, 30
616, 109, 27
617, 101, 29
618, 97, 30
619, 102, 28
620, 103, 27
621, 97, 30
622, 101, 25
623, 100, 26
624, 105, 28
625, 89, 31
626, 99, 32
627, 102, 31
628, 99, 34
629, 97, 38
630, 91, 45
631, 85, 49
632, 88, 48
633, 87, 51
634, 84, 47
635, 90, 45
636, 84, 49
637, 68, 50
638, 68, 53
639, 72, 49
640, 75, 47
641, 66, 44
642, 64, 41
643, 55, 44
644, 64, 43
645, 57, 46
646, 59, 43
